id,content_length,in_degree,out_degree
The_White_Stripes,28385,2,11
Don_Henley,10880,15,20
Harry_Chapin,6465,4,2
Sheryl_Crow,14104,16,17
Icehouse_(band),9921,4,11
The_Mamas_&_the_Papas,8437,2,4
Meat_Loaf,19927,8,14
Nine_Inch_Nails,37614,43,35
Pink_Floyd,30511,63,11
Ted_Nugent,18453,21,20
John_Mayer,28125,11,11
Frank_Zappa,34734,31,20
X_(American_band),5217,4,1
The_Used,8457,5,10
The_Who,29579,26,35
Flyleaf_(band),7124,9,10
Papa_Roach,17226,20,34
Canned_Heat,6588,5,13
The_Cars,4183,6,3
Faces_(band),6273,7,7
Weezer,27073,23,28
Arctic_Monkeys,26409,13,22
Avril_Lavigne,38758,13,31
P.O.D.,7936,12,12
Edgar_Winter,5971,4,4
The_Allman_Brothers_Band,13177,5,10
Blur_(band),13276,11,9
Megadeth,30075,34,43
Manfred_Mann's_Earth_Band,6744,8,15
Grateful_Dead,21435,25,8
INXS,14422,10,20
Rob_Zombie,20433,17,22
Florence_and_the_Machine,17516,3,9
Steve_Miller_Band,4458,8,5
Bill_Haley_&_His_Comets,10010,5,4
John_Mayall,6434,5,11
Coheed_and_Cambria,11602,3,21
Limp_Bizkit,30615,26,39
Roxy_Music,9709,23,23
Hinder,6516,7,27
Interpol_(band),6411,5,3
Joy_Division,8980,22,10
The_Alan_Parsons_Project,3508,3,4
David_Bowie,42576,84,21
Little_Richard,26078,38,41
Three_Dog_Night,5965,5,5
Bring_Me_the_Horizon,32368,6,17
The_Offspring,14889,13,22
Robert_Plant,14696,28,13
Three_Days_Grace,20347,18,24
Tesla_(band),4859,8,8
Fun_(band),4073,3,5
Jim_Croce,4480,1,1
Marilyn_Manson_(band),46154,21,34
Highly_Suspect,4704,1,9
Thirty_Seconds_to_Mars,10857,6,19
Slipknot_(band),23659,31,31
Peter_Gabriel,20534,20,15
The_All-American_Rejects,9399,4,12
Live_(band),5691,13,11
Sly_and_the_Family_Stone,9296,9,8
The_Cure,16510,12,19
Chicago_(band),38062,9,21
Blondie_(band),12303,16,18
Van_Zant_(band),1948,0,1
Accept_(band),7552,17,19
Midnight_Oil,17683,8,29
Beastie_Boys,21213,22,13
Harry_Nilsson,8693,13,12
Alice_Cooper,28676,58,41
Europe_(band),8193,6,16
Alter_Bridge,12476,11,21
Joan_Jett,11725,11,14
Tool_(band),21136,26,27
Drowning_Pool,5670,5,21
The_Velvet_Underground,15159,9,12
Foreigner_(band),12175,21,19
Rush_(band),26897,36,48
Bon_Jovi,14838,24,12
The_Marshall_Tucker_Band,7325,2,5
Korn,30096,37,33
Led_Zeppelin,21781,118,30
Sum_41,33420,15,33
Blue_Öyster_Cult,10816,10,26
Cage_the_Elephant,7719,3,17
Death_Cab_for_Cutie,10343,5,3
Charlie_Daniels,7831,5,4
Hootie_&_the_Blowfish,4590,2,4
R.E.M.,20004,24,18
Marilyn_Manson,36778,15,17
Bryan_Adams,39382,17,51
Jefferson_Airplane,12976,17,12
New_York_Dolls,10787,20,34
Filter_(band),8096,13,13
Days_of_the_New,5954,2,9
Queen_(band),46195,87,46
Living_Colour,5729,10,6
Eagles_(band),16870,29,17
Jet_(Australian_band),11701,0,12
Lifehouse_(band),6408,2,3
Yes_(band),21484,32,26
The_B-52's,8061,0,9
Styx_(band),8963,17,9
Tom_Petty,15212,25,22
ZZ_Top,10326,24,9
Jerry_Lee_Lewis,15168,18,9
Eddie_Money,5698,4,5
Finger_Eleven,5858,12,12
Coldplay,47199,24,25
The_Monkees,17778,10,6
The_Clash,15634,8,15
